Domain,pgid,ExpID,Submitted,SubmissionTime,Running,Error,ErrorTime,Finished,FinishedTime,Restart,InverseIterations,InverseIterationsDone,SpinupYears,SpinupYearsDone,InvertFor,GradientCalc,gsC,gsA,gaC,gaA,Measurements,Velocity,startGeometry,startMesh,SlidingLaw,m,muk,priorC,startC,n,priorAGlen,startAglen,Comments
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,89723.4,316406.5,84.7,93.7,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,4.91,0.5,2.72217122077347E-06,1849,2.58,3.19890381254388E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,61150.2,203043.9,81.5,28.7,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,4.83,0.5,3.65662342875129E-06,1171,3.14,2.74960803863847E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,424279.5,142850.4,99.2,77.4,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,4.73,0.5,5.28793656555366E-06,1171,2.92,7.21025436209045E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,493488.2,336016.9,35.8,8,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,4.62,0.5,7.93437706765887E-06,1694,3.26,1.62517446639641E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,75366.8,81830.7,82.1,72.3,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,4.54,0.5,1.06580470973845E-05,1171,3.24,1.77403339189218E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,317832.4,136898.3,33.4,16.3,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,4.44,0.5,1.54128742162818E-05,1035,2.65,2.3538830544755E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,246895.4,413849.5,91.8,63.9,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,4.39,0.5,1.85347457821602E-05,1392,2.99,5.30559734082344E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,311086.6,121086.6,62.3,63.6,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,4.25,0.5,3.10652628424629E-05,1392,3.04,4.26166970740131E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,357089.3,451270.3,71.3,55.4,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,4.23,0.5,3.34438473392757E-05,1035,2.67,2.15636901452939E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,401294.3,286388.9,78.2,36.3,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,4.1,0.5,5.40236634516594E-05,1392,2.98,5.54325920353532E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,486637.1,116855.4,49.4,89.6,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,4.02,0.5,7.25686143387347E-05,1392,3.03,4.452569298128E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,133120.5,66394.4,93.4,79,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,3.92,0.5,0.000104943327293727,1823,3.37,1.00359870398251E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,218511.6,77870.4,89.4,45.6,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,3.89,0.5,0.00011722402504765,1035,2.71,1.80967040141759E-08,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,116405.5,128660,57.7,57.9,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,3.8,0.5,0.000163381180092387,1392,2.92,7.21025436209045E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,273854.7,488983.7,95.6,52.6,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,3.69,0.5,0.000245148154207547,1823,3.32,1.24943765722997E-09,0,
ANT_nsmbl,0,0,0,01/01/2000 00:00:00,0,0,01/01/2000 00:00:00,0,01/01/2000 00:00:00,0,10000+1000,0,1,0,-logC-logA-,Adjoint,443399.9,57468,7.9,88.2,-uv-,2000,2000,2000_2009_2014_2018_meshmin3000_meshmax100000_refined,Weertman,3.63,0.5,0.000305880806882741,1823,3.46,6.76522107292978E-10,0,
